fmc_loc;fmc_pin_name;fmc_io_standard;fpga_port_name;fpga_pin;;
C1;;;;;;
C2;;;;F2;;
C3;;;;F1;;
C4;;;;;;
C5;;;;;;
C6;;;;G4;;
C7;;;;G3;;
C8;;;;;;
C9;;;;;;
C10;SCIENCE_DATA1_COL3_P;LVDS_25;i_science_data_p[7];C19;;
C11;SCIENCE_DATA1_COL3_N;LVDS_25;i_science_data_n[7];B19;;
C12;;;;;;
C13;;;;;;
C14;SCIENCE_DATA0_COL3_P;LVDS_25;i_science_data_p[6];B17;;
C15;SCIENCE_DATA0_COL3_N;LVDS_25;i_science_data_n[6];A17;;
C16;;;;;;
C17;;;;;;
C18;SCIENCE_DATA1_COL1_P;LVDS_25;i_science_data_p[3];H16;;
C19;SCIENCE_DATA1_COL1_N;LVDS_25;i_science_data_n[3];G16;;
C20;;;;;;
C21;;;;;;
C22;SCIENCE_CLOCK_23_P;LVDS_25;i_clk_science_p[1];F17;;
C23;SCIENCE_CLOCK_23_N;LVDS_25;i_clk_science_n[1];E17;;
C24;;;;;;
C25;;;;;;
C26;;;;D9;;
C27;;;;D8;;
C28;;;;;;
C29;;;;;;
C30;I2C_SCL;LVCMOS25;;;;check voltage
C31;i2C_SDA;LVCMOS25;;;;check voltage
C32;;;;;;
C33;;;;;;
C34;GA0;;;;;
C35;12V;;;;;
C36;;;;;;
C37;12V;;;;;
C38;;;;;;
C39;3.3V;;;;;
C40;;;;;;
